feature,mean_abs_shap,mean_shap
TuitionUpToDate,0.5162543566073693,-0.0004500053016833295
Course,0.449404161768401,0.03942841160939216
Scholarship,0.3634406567792529,0.033458635072198976
Age,0.3199870633792661,-0.013139765569482287
Gender,0.3151923673619226,0.04948260194287498
financial_risk,0.30178203704365286,0.035027148865911954
age_x_scholarship,0.20939521716541182,0.013251011257983213
PreviousGrade,0.20405830834444888,0.0056604520641084875
ApplicationMode,0.18205846700811135,-0.002648321453314904
unemp_x_age,0.17669638571471522,-0.005273112765403909
AdmissionGrade,0.1720998309347901,0.01338396442020394
admission_vs_prevgrade,0.13412550790422972,-0.005395086332040862
age_x_financial_risk,0.12309459479772415,-0.008326530802133652
MotherOcc,0.10350203147663163,-0.0013027736556451518
parent_occ_avg,0.09391419331861774,0.00859738247185834
Displaced,0.0800095178781542,-0.0034715614435043
MotherQual,0.07666473032340904,0.013943111036607326
vulnerability_idx,0.07469567697358787,0.0060372111757595465
gdp_x_tuition,0.07284083871602595,-0.019726235503613156
UnempRate,0.07238266956418068,-0.004608358080173991
parent_qual_avg,0.06879459708045264,-0.008345829856803325
FatherQual,0.06571606312865685,-0.0036152534966869647
ApplicationOrder,0.060034301120166646,0.0014768304277032697
FatherOcc,0.04720204676417823,0.004491040563260423
MaritalStatus,0.04554038396756195,-0.0015757592657945788
GDP,0.04380036082756275,-0.0007205333444645036
Nationality,0.030313481224360218,-0.001744215781811167
Inflation,0.024420309940805338,0.00030471882299646405
Attendance,0.024338192715996028,-0.0028332477287308496
PrevQual,0.018727827275603445,0.0011887905897543995
gdp_x_debtor,0.016245170289086463,-0.00013659384125421268
inflation_x_debtor,0.01590797003501031,-0.0007149543520280265
International,0.007756052602860747,-0.0006362910545015961
Debtor,0.0020109162738936293,0.0012115043513993558
SpecialNeeds,0.0,0.0
total_failures,0.0,0.0
academic_distress,0.0,0.0
