oof_prob,cal_prob,true
0.9164671148809698,0.9164671148809698,1
0.9165423172791346,0.9165423172791346,1
0.783317460553938,0.783317460553938,1
0.9159455544502699,0.9159455544502699,1
0.16254867587636534,0.16254867587636534,0
0.9109642981570196,0.9109642981570196,1
0.13562203946132875,0.13562203946132875,0
0.9046342226940314,0.9046342226940314,1
0.13736439988108168,0.13736439988108168,0
0.12487858411495444,0.12487858411495444,1
0.13330448852262985,0.13330448852262985,0
0.16104313626664754,0.16104313626664757,0
0.357864783996631,0.3578647839966311,0
0.1718242181216778,0.1718242181216778,0
0.10783212901701113,0.10783212901701113,0
0.6652107674283798,0.6652107674283798,1
0.12025804600661534,0.12025804600661534,0
0.9168814505626218,0.9168814505626218,1
0.9137730821962617,0.9137730821962617,1
0.12478741246852104,0.12478741246852104,0
0.30514353560882906,0.30514353560882906,0
0.10841396569775652,0.10841396569775652,0
0.1106870289948973,0.1106870289948973,0
0.37573333974404144,0.37573333974404144,0
0.10897934035159251,0.10897934035159251,0
0.15469922856873095,0.15469922856873095,0
0.10627019904026246,0.10627019904026246,0
0.4265447049733834,0.4265447049733834,0
0.3988506971056174,0.3988506971056174,1
0.11513782539362506,0.11513782539362506,0
0.6635488829814965,0.6635488829814965,0
0.4868540194163147,0.4868540194163147,0
0.1478058300313631,0.1478058300313631,0
0.7071739840661008,0.7071739840661008,0
0.10815830976224358,0.10815830976224358,0
0.14981219971897528,0.14981219971897528,0
0.10023809595972945,0.10023809595972945,0
0.11193969373615444,0.11193969373615444,0
0.1891724638063571,0.1891724638063571,0
0.10228514080469064,0.10228514080469064,0
0.9167145519716,0.9167145519716,1
0.16268537508677516,0.16268537508677516,1
0.20070804059918168,0.20070804059918168,0
0.16143615487974364,0.1614361548797436,0
0.237931968794697,0.237931968794697,0
0.11846275679486748,0.11846275679486748,0
0.11629962747751785,0.11629962747751785,0
0.11751030681572044,0.11751030681572044,0
0.34350778095966883,0.34350778095966883,1
0.6376018806500224,0.6376018806500224,1
0.11549025579018526,0.11549025579018526,0
0.9151124932523119,0.9151124932523119,1
0.14102798106998715,0.14102798106998715,0
0.12651563556405054,0.12651563556405054,0
0.7028094962993767,0.7028094962993767,1
0.9117643662244385,0.9117643662244385,1
0.9168671964612215,0.9168671964612215,1
0.3228228762016597,0.3228228762016597,0
0.10831064766514843,0.10831064766514843,0
0.191790690729824,0.19179069072982402,0
0.12420176824004428,0.12420176824004431,0
0.2624972698794433,0.2624972698794433,0
0.1428776827865706,0.1428776827865706,0
0.13179458690285373,0.13179458690285373,0
0.40666778545019583,0.40666778545019583,1
0.12331341118610076,0.12331341118610076,0
0.10475118514113274,0.10475118514113271,0
0.7402306752331548,0.7402306752331548,1
0.9140123184732161,0.9140123184732161,1
0.916826693385596,0.916826693385596,1
0.9166275313289002,0.9166275313289002,1
0.9158481915719837,0.9158481915719837,1
0.16581706383892056,0.1658170638389206,0
0.9091767006473425,0.9091767006473425,1
0.10388781945948554,0.10388781945948554,0
0.1353364065620304,0.1353364065620304,0
0.11631017463632842,0.11631017463632842,0
0.7463752918255604,0.7463752918255605,0
0.12291744082588935,0.12291744082588935,0
0.9135056063962004,0.9135056063962004,1
0.7786972259891157,0.7786972259891157,1
0.6364303159050396,0.6364303159050396,1
0.1282920678024042,0.1282920678024042,0
0.2478543922183305,0.2478543922183305,0
0.20546574546770957,0.20546574546770957,1
0.1590868839078473,0.1590868839078473,0
0.662982581883482,0.662982581883482,1
0.10351050021678677,0.10351050021678679,0
0.19625131922490524,0.19625131922490524,0
0.6527232598914086,0.6527232598914086,0
0.10203963336923252,0.10203963336923252,0
0.10978303278562675,0.10978303278562675,0
0.10987841974287539,0.1098784197428754,0
0.10866117545485604,0.10866117545485604,0
0.15598625391559592,0.15598625391559592,0
0.9168395826313342,0.9168395826313342,1
0.8720982197029746,0.8720982197029746,1
0.1561966892178152,0.1561966892178152,0
0.9164382585921125,0.9164382585921125,1
0.1379551300185281,0.1379551300185281,0
0.8756019623045995,0.8756019623045995,1
0.6706401954378012,0.6706401954378012,0
0.915904621699523,0.915904621699523,1
0.41546664625294993,0.41546664625294993,1
0.9054479341665504,0.9054479341665504,1
0.14350046878868494,0.14350046878868494,0
0.9139986714696307,0.9139986714696307,1
0.9167523187933582,0.9167523187933582,1
0.1440674455911429,0.1440674455911429,0
0.8863878983025701,0.8863878983025701,1
0.8904874141273365,0.8904874141273365,1
0.22780522651369364,0.22780522651369364,1
0.915515928205214,0.915515928205214,1
0.9152923857313428,0.9152923857313428,1
0.1075625618196792,0.1075625618196792,0
0.9161695401306169,0.9161695401306169,1
0.10802121605437354,0.10802121605437354,0
0.10071174317116331,0.10071174317116331,0
0.865009111174319,0.865009111174319,1
0.10147792261586751,0.10147792261586751,0
0.18979812717603176,0.18979812717603176,0
0.1058775809633377,0.1058775809633377,0
0.17268850661221344,0.17268850661221344,0
0.12494223176334467,0.12494223176334467,0
0.1018955796444115,0.1018955796444115,0
0.1520726498839667,0.15207264988396674,0
0.6115111608300573,0.6115111608300573,0
0.12793557372469316,0.12793557372469316,0
0.9128883196453665,0.9128883196453665,1
0.15208103412062593,0.15208103412062593,0
0.7455753190423914,0.7455753190423914,0
0.255164306354984,0.255164306354984,0
0.36151249426672066,0.36151249426672066,1
0.1345631042451152,0.1345631042451152,0
0.6994237327057428,0.6994237327057428,1
0.9142501035294623,0.9142501035294623,1
0.3272390733965026,0.3272390733965026,0
0.16238275623448467,0.16238275623448467,0
0.7572065411616212,0.7572065411616212,1
0.15996631255247448,0.15996631255247448,0
0.1367551394394656,0.13675513943946557,0
0.10212888584526467,0.10212888584526467,0
0.15268015498655374,0.15268015498655374,0
0.9106967765814598,0.9106967765814598,1
0.1674078026632584,0.1674078026632584,0
0.9169015839140569,0.9169015839140569,1
0.14255352447353167,0.14255352447353167,0
0.11781398631060395,0.11781398631060395,0
0.11896550703078658,0.11896550703078658,0
0.7416443700622595,0.7416443700622595,0
0.6216657405168363,0.6216657405168363,0
0.15551447149483155,0.15551447149483155,0
0.11789943500471498,0.11789943500471498,0
0.14664059857570097,0.14664059857570097,0
0.16401581197813003,0.16401581197813003,1
