feature,mean_abs_shap,mean_shap
TuitionUpToDate,1.532827936011663,0.3911702949298853
avg_grade,1.1719814486322109,-0.03299504589502763
s2_grade,0.48217755244732463,-0.041109621969981656
s2_approved,0.47364471064289526,-0.19123997423752637
ApplicationMode,0.44492109934164337,0.12213848530270685
s2_enrolled,0.4423598305641258,0.06886517321393053
financial_risk,0.42701296993062476,0.13879385059447324
vle_active_days,0.3771008041073172,-0.10557970285772099
cum_approved,0.3166948120825626,0.09525178083898604
s2_mean_score,0.16897616294068044,-0.013627188921016404
age_x_financial_risk,0.14762632455986768,0.033595267167711475
s1_mean_score,0.1434080825939228,0.03162092391754029
s2_eval,0.13016905514317642,0.011970876286954932
s1_grade,0.12065482798628364,0.013204600664662157
gdp_x_tuition,0.11813727149310697,0.005524846186065938
s2_approval_rate,0.10809016805088276,-0.05105053700249705
s1_to_s2_approved_delta,0.08580267525106157,-0.013673391099943345
PrevQual,0.07575052175924811,-0.009613089346925148
vle_sites_used,0.0703593325992624,0.018017980601392924
grade_per_approved,0.06641359308788612,-0.0045574293233251045
vle_total_clicks,0.06091160040144385,0.0064579276890418804
s1_late_days,0.051953325991544654,0.02146072689257142
vle_sessions,0.05149961212152695,0.026187112085721415
s2_late_days,0.04674549568181987,0.0014797750663132832
s2_pass_efficiency,0.039243409228253236,-0.015935158573748314
admission_vs_prevgrade,0.03735761458726879,0.0023234807698209385
s1_to_s2_grade_delta,0.03555818923410404,0.005014768915979114
s2_n_assess,0.033566962195079146,0.008111422705754217
momentum_score,0.03266670842534897,-0.007213447250688965
Nationality,0.027051452926217683,-0.0007169973886346731
s1_approved,0.022024346125568417,0.0008695441889380157
cum_efficiency,0.019262282996900436,-0.015354420792896213
s1_enrolled,0.018009569247524577,0.008377735906662884
GDP,0.017065154540567264,-0.017041978814308707
AdmissionGrade,0.014699718794506314,-0.00044633666284609884
zero_grade_s2,0.010778296493224954,-0.0029463308373499503
academic_distress,0.008493674141670963,0.002249629658070978
UnempRate,0.008354350906759856,-0.008334205381013657
Gender,0.007491379122868197,0.002674656657264297
PreviousGrade,0.007283490581932073,0.0017329517739469347
ApplicationOrder,0.006841400245308896,-8.851485733476919e-05
age_x_scholarship,0.006668628677525745,-0.0005537589668506544
unemp_x_age,0.005409907955288173,-0.003768628094399407
s1_eval,0.005007301505978212,3.295193156908058e-05
Scholarship,0.005001915870416281,0.0025832380773862245
s1_approval_rate,0.004405450455945095,0.0013601954409080987
s1_n_assess,0.0041055919417075865,0.0032578029625938056
s2_credit_rate,0.003991024318333555,0.0010779693112784004
vulnerability_idx,0.003786614616612495,0.00128895950591085
s2_failed,0.0037579132024627617,-0.0011882388585471159
low_grade_flag_s1,0.003436359651734306,-0.0008694482527949192
total_failures,0.00283628972959511,-0.001974784806849527
Inflation,0.0027391031546629865,-0.0027136336744021665
Age,0.002731513631431946,-0.00011887016327494756
low_grade_flag_s2,0.0026540253816217923,0.0008783355723744941
SpecialNeeds,0.0023729100308664047,9.042122051729676e-05
s1_eval_rate,0.0015488052704403378,0.0003280758939744256
s1_pass_efficiency,0.0010354657454970178,0.000635680497178236
s2_credited,0.0009550044408562136,0.00031105876222117947
s1_credited,0.0008160902898716753,0.0006258664684715429
s1_credit_rate,0.0006424034368117696,0.00014025112623052433
cum_failed,0.0006034238733337684,-0.0003430283916497941
s1_failed,0.0003563870779786914,-9.1766320886304e-05
zero_grade_s1,0.0002197911010142198,-0.00011987327490768187
s2_n_bank,0.00013135892411764638,7.437843225156353e-05
s1_n_bank,0.00012916188589290372,4.7407972994320356e-05
s2_eval_rate,4.5819671873683435e-05,4.246686344259479e-05
s1_wo_eval,0.0,0.0
s2_wo_eval,0.0,0.0
Debtor,0.0,0.0
MaritalStatus,0.0,0.0
Attendance,0.0,0.0
MotherQual,0.0,0.0
FatherQual,0.0,0.0
MotherOcc,0.0,0.0
FatherOcc,0.0,0.0
Displaced,0.0,0.0
s1_eval_gap,0.0,0.0
parent_qual_avg,0.0,0.0
parent_occ_avg,0.0,0.0
inflation_x_debtor,0.0,0.0
gdp_x_debtor,0.0,0.0
s2_eval_gap,0.0,0.0
eval_participation_gap,0.0,0.0
