feature,mean_abs_shap,mean_shap
TuitionUpToDate,2.1662419135552673,0.23839325973020872
s1_n_assess,1.1684722569691242,0.033426563125159826
s1_mean_score,0.8778712898896278,0.06718431308494444
vle_active_days,0.8501368398202351,-0.011232194769516682
vle_sites_used,0.5143811391794992,-0.1694475104816299
ApplicationMode,0.4822741140206065,0.4813655508767894
financial_risk,0.4063451465550191,0.027281205451209187
vle_sessions,0.24409511015724375,0.009089751032634444
gdp_x_tuition,0.19751281754677086,-0.05317612437823277
PrevQual,0.1617982950240503,-0.02236421276092919
vle_total_clicks,0.15715914868521497,0.02443583594103907
s1_late_days,0.13012153815128427,0.010898337808389133
age_x_financial_risk,0.0711114564823124,0.009664207328363289
Nationality,0.06502111406411273,0.002177726876035505
admission_vs_prevgrade,0.04742527933289419,0.0016700830977376428
vulnerability_idx,0.03671716441973305,0.016163107158117043
AdmissionGrade,0.03438575794218505,0.0027386925643084446
Scholarship,0.023576351923707835,0.009425596039655327
age_x_scholarship,0.023368590867090137,0.0006119187606267275
ApplicationOrder,0.02300163225820331,-4.0050364052972506e-05
GDP,0.019941837580833115,-0.019507396751405254
unemp_x_age,0.012616443704661522,-0.009497904695673767
Gender,0.011876190299120898,0.007005798960360383
PreviousGrade,0.00916586414330221,-0.0006928198381301173
SpecialNeeds,0.007125946973563406,-0.00014668448088506493
Age,0.007081872320173899,0.00013770670789480365
s1_n_bank,0.004902841613367941,-0.0023240084925898043
UnempRate,0.00480623206261858,-0.004425096865958871
Inflation,0.0008303759186824678,-0.0008303759186824678
Displaced,0.0,0.0
FatherOcc,0.0,0.0
Debtor,0.0,0.0
MotherQual,0.0,0.0
FatherQual,0.0,0.0
MotherOcc,0.0,0.0
Attendance,0.0,0.0
MaritalStatus,0.0,0.0
total_failures,0.0,0.0
academic_distress,0.0,0.0
gdp_x_debtor,0.0,0.0
inflation_x_debtor,0.0,0.0
parent_qual_avg,0.0,0.0
parent_occ_avg,0.0,0.0
